2024-09-10 15:32:53,772 - INFO - Starting training...
2024-09-10 15:33:15,125 - INFO - Epoch [251/1000], Loss_G: -1.3158
2024-09-10 15:33:15,910 - INFO - Epoch [261/1000], Loss_G: -1.3572
2024-09-10 15:33:16,719 - INFO - Epoch [271/1000], Loss_G: -1.3984
2024-09-10 15:33:17,516 - INFO - Epoch [281/1000], Loss_G: -1.4397
2024-09-10 15:33:18,285 - INFO - Epoch [291/1000], Loss_G: -1.4822
2024-09-10 15:33:19,098 - INFO - Epoch [301/1000], Loss_G: -1.5237
2024-09-10 15:33:19,873 - INFO - Epoch [311/1000], Loss_G: -1.5658
2024-09-10 15:33:20,686 - INFO - Epoch [321/1000], Loss_G: -1.6093
2024-09-10 15:33:21,521 - INFO - Epoch [331/1000], Loss_G: -1.6521
2024-09-10 15:33:22,443 - INFO - Epoch [341/1000], Loss_G: -1.6964
2024-09-10 15:33:23,279 - INFO - Epoch [351/1000], Loss_G: -1.7402
2024-09-10 15:33:24,136 - INFO - Epoch [361/1000], Loss_G: -1.7846
2024-09-10 15:33:24,984 - INFO - Epoch [371/1000], Loss_G: -1.8293
2024-09-10 15:33:25,794 - INFO - Epoch [381/1000], Loss_G: -1.8736
2024-09-10 15:33:26,597 - INFO - Epoch [391/1000], Loss_G: -1.9198
2024-09-10 15:33:27,459 - INFO - Epoch [401/1000], Loss_G: -1.9655
2024-09-10 15:33:28,349 - INFO - Epoch [411/1000], Loss_G: -2.0117
2024-09-10 15:33:29,231 - INFO - Epoch [421/1000], Loss_G: -2.0586
2024-09-10 15:33:30,052 - INFO - Epoch [431/1000], Loss_G: -2.1049
2024-09-10 15:33:30,862 - INFO - Epoch [441/1000], Loss_G: -2.1517
2024-09-10 15:33:31,722 - INFO - Epoch [451/1000], Loss_G: -2.1999
2024-09-10 15:33:32,594 - INFO - Epoch [461/1000], Loss_G: -2.2472
2024-09-10 15:33:33,430 - INFO - Epoch [471/1000], Loss_G: -2.2956
2024-09-10 15:33:34,247 - INFO - Epoch [481/1000], Loss_G: -2.3446
2024-09-10 15:33:35,123 - INFO - Epoch [491/1000], Loss_G: -2.3921
2024-09-10 15:33:35,948 - INFO - Epoch [501/1000], Loss_G: -2.4429
2024-09-10 15:33:36,759 - INFO - Epoch [511/1000], Loss_G: -2.4924
2024-09-10 15:33:37,547 - INFO - Epoch [521/1000], Loss_G: -2.5421
2024-09-10 15:33:38,487 - INFO - Epoch [531/1000], Loss_G: -2.5923
2024-09-10 15:33:39,312 - INFO - Epoch [541/1000], Loss_G: -2.6432
2024-09-10 15:33:40,112 - INFO - Epoch [551/1000], Loss_G: -2.6944
2024-09-10 15:33:40,933 - INFO - Epoch [561/1000], Loss_G: -2.7457
2024-09-10 15:33:41,741 - INFO - Epoch [571/1000], Loss_G: -2.7974
2024-09-10 15:33:42,545 - INFO - Epoch [581/1000], Loss_G: -2.8493
2024-09-10 15:33:43,385 - INFO - Epoch [591/1000], Loss_G: -2.9013
2024-09-10 15:33:44,206 - INFO - Epoch [601/1000], Loss_G: -2.9541
2024-09-10 15:33:45,016 - INFO - Epoch [611/1000], Loss_G: -3.0075
2024-09-10 15:33:45,878 - INFO - Epoch [621/1000], Loss_G: -3.0610
2024-09-10 15:33:46,721 - INFO - Epoch [631/1000], Loss_G: -3.1151
2024-09-10 15:33:47,566 - INFO - Epoch [641/1000], Loss_G: -3.1690
2024-09-10 15:33:48,345 - INFO - Epoch [651/1000], Loss_G: -3.2237
2024-09-10 15:33:49,195 - INFO - Epoch [661/1000], Loss_G: -3.2785
2024-09-10 15:33:50,026 - INFO - Epoch [671/1000], Loss_G: -3.3337
2024-09-10 15:33:50,851 - INFO - Epoch [681/1000], Loss_G: -3.3891
2024-09-10 15:33:51,662 - INFO - Epoch [691/1000], Loss_G: -3.4446
2024-09-10 15:33:52,550 - INFO - Epoch [701/1000], Loss_G: -3.5010
2024-09-10 15:33:53,382 - INFO - Epoch [711/1000], Loss_G: -3.5578
2024-09-10 15:33:54,221 - INFO - Epoch [721/1000], Loss_G: -3.6149
2024-09-10 15:33:55,022 - INFO - Epoch [731/1000], Loss_G: -3.6723
2024-09-10 15:33:55,882 - INFO - Epoch [741/1000], Loss_G: -3.7297
2024-09-10 15:33:56,790 - INFO - Epoch [751/1000], Loss_G: -3.7876
2024-09-10 15:33:57,640 - INFO - Epoch [761/1000], Loss_G: -3.8459
2024-09-10 15:33:58,485 - INFO - Epoch [771/1000], Loss_G: -3.9047
2024-09-10 15:33:59,330 - INFO - Epoch [781/1000], Loss_G: -3.9635
2024-09-10 15:34:00,233 - INFO - Epoch [791/1000], Loss_G: -4.0228
2024-09-10 15:34:01,196 - INFO - Epoch [801/1000], Loss_G: -4.0824
2024-09-10 15:34:02,156 - INFO - Epoch [811/1000], Loss_G: -4.1425
2024-09-10 15:34:03,054 - INFO - Epoch [821/1000], Loss_G: -4.2030
2024-09-10 15:34:03,943 - INFO - Epoch [831/1000], Loss_G: -4.2633
2024-09-10 15:34:04,770 - INFO - Epoch [841/1000], Loss_G: -4.3245
2024-09-10 15:34:05,631 - INFO - Epoch [851/1000], Loss_G: -4.3856
2024-09-10 15:34:06,448 - INFO - Epoch [861/1000], Loss_G: -4.4477
2024-09-10 15:34:07,403 - INFO - Epoch [871/1000], Loss_G: -4.5094
2024-09-10 15:34:08,198 - INFO - Epoch [881/1000], Loss_G: -4.5721
2024-09-10 15:34:09,106 - INFO - Epoch [891/1000], Loss_G: -4.6348
2024-09-10 15:34:09,934 - INFO - Epoch [901/1000], Loss_G: -4.6976
2024-09-10 15:34:10,812 - INFO - Epoch [911/1000], Loss_G: -4.7610
2024-09-10 15:34:11,595 - INFO - Epoch [921/1000], Loss_G: -4.8247
2024-09-10 15:34:12,397 - INFO - Epoch [931/1000], Loss_G: -4.8888
2024-09-10 15:34:13,206 - INFO - Epoch [941/1000], Loss_G: -4.9531
2024-09-10 15:34:14,020 - INFO - Epoch [951/1000], Loss_G: -5.0179
2024-09-10 15:34:14,917 - INFO - Epoch [961/1000], Loss_G: -5.0830
2024-09-10 15:34:15,764 - INFO - Epoch [971/1000], Loss_G: -5.1482
2024-09-10 15:34:16,631 - INFO - Epoch [981/1000], Loss_G: -5.2142
2024-09-10 15:34:17,470 - INFO - Epoch [991/1000], Loss_G: -5.2799
2024-09-10 15:34:18,222 - INFO - Epoch [1000/1000], Loss_G: -5.3397
2024-09-10 15:34:18,222 - INFO - Training complete.
